ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
236817_at	ADAT2	 	 	1.586	3.99E-02	 	 
230634_x_at	ADAT3	 	 	1.183	1.44E-02	 	 
44120_at	ADCK2	 	 	1.138	3.79E-02	 	 
214547_at	ADCY10	 	 	 	 	1.641	6.96E-03
209321_s_at	ADCY3	1.474	1.73E-02	 	 	 	 
209195_s_at	ADCY6	-1.45	3.16E-03	 	 	-1.379	1.78E-02
204497_at	ADCY9	1.472	2.08E-02	 	 	1.507	5.60E-03
204498_s_at	ADCY9	1.382	1.39E-03	 	 	 	 
226690_at	ADCYAP1R1	 	 	 	 	1.236	3.27E-02
214736_s_at	ADD1	-1.162	4.50E-02	 	 	 	 
205882_x_at	ADD3	 	 	1.309	2.15E-02	 	 
201752_s_at	ADD3	 	 	 	 	1.468	8.06E-03
201753_s_at	ADD3	 	 	 	 	1.277	1.74E-03
209612_s_at	ADH1B	 	 	 	 	1.251	4.32E-02
227113_at	ADHFE1	 	 	-2.154	2.10E-03	 	 
1554128_at	ADIG	 	 	 	 	1.276	1.06E-02
201346_at	ADIPOR2	-1.339	1.06E-02	-1.443	9.47E-03	-1.438	9.22E-03
203571_s_at	ADIRF	 	 	-1.307	3.15E-03	-1.687	1.44E-03
204119_s_at	ADK	 	 	 	 	1.225	1.38E-02
202912_at	ADM	-1.833	9.18E-05	-2.18	1.21E-04	-2.642	9.22E-05
232154_at	ADM5	 	 	 	 	1.526	1.19E-02
201773_at	ADNP	 	 	 	 	-1.209	2.81E-02
203322_at	ADNP2	 	 	1.177	4.14E-02	 	 
203321_s_at	ADNP2	 	 	 	 	-1.151	3.46E-02
212500_at	ADO	1.274	1.40E-02	 	 	 	 
212502_at	ADO	 	 	 	 	1.206	4.64E-02
205481_at	ADORA1	5.335	2.78E-03	5.222	4.95E-04	4.443	5.62E-03
216220_s_at	ADORA1	2.177	6.66E-03	 	 	 	 
237447_at	ADORA2A-AS1	 	 	-2.102	1.17E-02	 	 
205891_at	ADORA2B	 	 	1.394	4.07E-03	 	 
224455_s_at	ADPGK	1.427	4.60E-02	1.262	1.08E-02	1.526	2.51E-02
220980_s_at	ADPGK	 	 	 	 	1.328	3.90E-04
1553163_at	ADPRHL1	 	 	 	 	-1.275	2.44E-02
238054_at	ADPRHL1	 	 	 	 	-1.267	1.89E-02
223097_at	ADPRHL2	 	 	1.335	2.90E-02	1.377	3.66E-02
209869_at	ADRA2A	 	 	2.168	2.48E-02	 	 
208544_at	ADRA2B	1.251	3.65E-02	 	 	 	 
229309_at	ADRB1	3.449	3.35E-03	2.672	2.48E-03	2.438	9.19E-03
204184_s_at	ADRBK2	 	 	1.689	3.76E-02	 	 
201281_at	ADRM1	1.12	3.82E-02	1.276	6.74E-03	1.571	2.03E-03
202144_s_at	ADSL	1.23	1.01E-02	1.308	3.02E-03	1.456	5.63E-03
210250_x_at	ADSL	1.312	2.00E-03	1.434	2.16E-03	1.388	3.68E-03
221761_at	ADSS	 	 	 	 	-1.331	3.49E-02
226325_at	ADSSL1	-1.108	3.30E-02	 	 	-1.13	3.57E-02
225889_at	AEBP2	1.346	3.27E-03	 	 	 	 
219361_s_at	AEN	1.324	3.79E-02	 	 	 	 
201924_at	AFF1	-1.181	3.94E-03	 	 	 	 
239439_at	AFF4	 	 	1.664	4.52E-02	 	 
225229_at	AFF4	 	 	 	 	-1.334	2.83E-02
206840_at	AFM	-1.207	3.99E-03	 	 	 	 
222472_at	AFTPH	 	 	 	 	-1.822	1.79E-02
216064_s_at	AGA	-1.194	2.11E-02	 	 	 	 
204333_s_at	AGA	 	 	1.265	3.03E-02	 	 
1555907_at	AGAP2-AS1	 	 	 	 	1.298	2.33E-03
231857_s_at	AGBL5	 	 	1.399	4.15E-02	 	 
238889_at	AGBL5	 	 	 	 	1.386	2.56E-02
213926_s_at	AGFG1	 	 	1.428	3.29E-03	1.411	3.70E-02
218092_s_at	AGFG1	 	 	1.213	1.13E-02	1.292	8.13E-03
218568_at	AGK	 	 	 	 	1.775	2.53E-02
221648_s_at	AGMAT	 	 	1.387	1.42E-02	1.754	4.90E-02
222930_s_at	AGMAT	 	 	 	 	1.456	4.10E-02
225827_at	AGO2	 	 	 	 	-1.132	1.08E-02
227930_at	AGO4	 	 	-1.899	3.23E-02	-1.894	4.44E-03
32836_at	AGPAT1	 	 	 	 	-1.233	2.12E-02
32837_at	AGPAT2	-1.192	1.76E-02	 	 	 	 
210678_s_at	AGPAT2	 	 	 	 	-1.317	2.61E-03
223182_s_at	AGPAT3	-1.407	1.90E-02	 	 	-1.421	2.95E-02
223183_at	AGPAT3	 	 	 	 	-1.14	1.63E-02
