ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
225625_at	ALKBH2	1.632	1.55E-03	1.313	2.43E-04	1.496	3.28E-03
226127_at	ALKBH3	 	 	 	 	1.187	4.94E-02
1557564_at	ALKBH3-AS1	-1.309	4.68E-02	 	 	 	 
1557565_a_at	ALKBH3-AS1	-1.394	4.82E-02	 	 	 	 
228034_x_at	ALKBH5	 	 	 	 	1.433	2.99E-02
234302_s_at	ALKBH5	 	 	 	 	1.128	4.77E-02
223318_s_at	ALKBH7	 	 	-1.374	2.39E-02	-1.286	1.86E-02
235713_at	ALKBH8	 	 	1.435	1.81E-02	 	 
214220_s_at	ALMS1	1.697	3.83E-02	1.971	2.82E-02	1.199	3.08E-03
1556911_at	ALMS1-IT1	 	 	 	 	1.81	3.63E-02
214366_s_at	ALOX5	 	 	 	 	1.653	3.73E-02
227438_at	ALPK1	-1.519	1.24E-03	 	 	 	 
243352_at	ALPK1	 	 	1.699	3.12E-02	 	 
222333_at	ALS2CL	-1.346	4.31E-02	 	 	 	 
1563673_a_at	ALS2CR11	 	 	1.098	1.53E-02	 	 
226319_s_at	ALYREF	1.346	1.73E-02	1.313	3.12E-02	 	 
226320_at	ALYREF	1.294	3.12E-02	1.148	4.04E-02	 	 
52731_at	AMBRA1	 	 	 	 	-1.428	4.23E-03
201196_s_at	AMD1	1.336	1.68E-02	1.235	1.88E-02	1.243	1.72E-02
201197_at	AMD1	1.322	3.94E-02	1.638	6.93E-03	1.758	2.39E-04
208410_x_at	AMELX	 	 	 	 	1.222	1.71E-02
1552882_a_at	AMER1	 	 	2.059	2.96E-03	 	 
1553720_a_at	AMER2	-1.399	4.41E-02	-1.683	1.99E-02	 	 
202203_s_at	AMFR	1.759	1.29E-02	 	 	 	 
202204_s_at	AMFR	1.378	1.50E-02	1.233	4.56E-02	 	 
226718_at	AMIGO1	1.141	4.31E-02	-1.161	2.22E-02	 	 
222108_at	AMIGO2	 	 	 	 	1.427	3.37E-03
204976_s_at	AMMECR1	1.301	1.52E-02	1.318	2.38E-02	1.565	1.90E-03
226421_at	AMMECR1	1.334	2.20E-02	1.309	2.35E-04	1.654	6.51E-03
1553219_a_at	AMMECR1	 	 	 	 	1.648	8.04E-03
223297_at	AMMECR1L	 	 	 	 	-1.208	4.01E-02
225450_at	AMOTL1	 	 	 	 	-1.274	8.97E-03
228840_at	AMOTL1	 	 	 	 	-1.425	2.65E-02
212360_at	AMPD2	 	 	 	 	1.29	3.06E-02
205257_s_at	AMPH	 	 	-1.62	3.08E-02	-1.532	1.23E-03
1562261_at	AMZ1	2.591	2.04E-03	1.991	3.05E-02	 	 
1561179_s_at	AMZ1	 	 	 	 	1.277	4.64E-02
218575_at	ANAPC1	 	 	1.715	3.42E-03	1.543	8.60E-04
231973_s_at	ANAPC1	 	 	1.247	2.88E-03	1.369	1.96E-03
229267_at	ANAPC1	 	 	 	 	1.223	4.08E-03
241959_at	ANAPC10	1.395	3.99E-02	 	 	 	 
209001_s_at	ANAPC13	 	 	 	 	-1.19	7.61E-04
215282_at	ANAPC13	 	 	 	 	1.38	6.70E-03
204218_at	ANAPC15	 	 	 	 	1.278	3.51E-02
224664_at	ANAPC16	-1.209	4.93E-03	-1.26	3.56E-04	-1.282	1.21E-03
224665_at	ANAPC16	-1.091	2.41E-02	 	 	-1.286	3.46E-02
229145_at	ANAPC16	 	 	-1.236	3.98E-02	-1.292	1.76E-03
226917_s_at	ANAPC4	1.257	6.02E-03	 	 	1.229	1.92E-02
232524_x_at	ANAPC4	 	 	 	 	1.199	4.38E-02
208722_s_at	ANAPC5	1.238	3.42E-02	1.597	4.22E-02	1.412	1.43E-02
200098_s_at	ANAPC5	 	 	1.325	1.06E-02	 	 
208721_s_at	ANAPC5	 	 	1.279	3.62E-02	1.565	3.67E-04
211036_x_at	ANAPC5	 	 	1.378	3.40E-02	1.249	1.80E-03
225554_s_at	ANAPC7	1.373	8.08E-03	1.266	8.83E-03	1.488	1.23E-02
213099_at	ANGEL1	 	 	 	 	1.251	4.21E-02
217630_at	ANGEL2	 	 	1.397	4.82E-02	 	 
205608_s_at	ANGPT1	 	 	 	 	-1.327	4.63E-02
237261_at	ANGPT2	 	 	1.193	1.48E-02	 	 
243799_x_at	ANGPTL3	-1.254	1.20E-02	 	 	1.423	3.44E-02
221009_s_at	ANGPTL4	-1.507	1.51E-02	 	 	 	 
223967_at	ANGPTL6	 	 	1.456	4.92E-02	 	 
205389_s_at	ANK1	-1.387	3.21E-02	 	 	 	 
207087_x_at	ANK1	 	 	1.424	1.58E-02	 	 
206385_s_at	ANK3	-1.695	1.83E-02	-2.252	1.48E-03	-2.833	4.09E-03
207950_s_at	ANK3	-1.767	1.64E-02	-1.904	8.22E-03	-2.241	1.37E-02
239726_at	ANK3	-1.511	2.68E-02	 	 	-3.992	3.65E-02
209442_x_at	ANK3	 	 	-1.893	3.13E-03	-2.145	1.80E-02
238786_at	ANK3	 	 	-2.225	4.70E-02	 	 
1556653_at	ANKAR	 	 	 	 	1.155	3.92E-02
220144_s_at	ANKEF1	1.38	4.32E-02	 	 	1.688	6.69E-03
223092_at	ANKH	1.397	4.02E-03	 	 	1.287	3.02E-02
223094_s_at	ANKH	1.581	4.87E-02	1.189	1.12E-02	 	 
229176_at	ANKH	-1.311	1.28E-02	 	 	 	 
219081_at	ANKHD1	 	 	1.359	4.46E-02	1.604	4.60E-03
233292_s_at	ANKHD1	 	 	1.086	3.45E-02	 	 
214919_s_at	ANKHD1	 	 	 	 	-1.371	1.59E-02
224687_at	ANKIB1	 	 	 	 	-1.084	1.18E-02
212201_at	ANKLE2	 	 	 	 	1.16	2.03E-02
212798_s_at	ANKMY2	-1.265	1.20E-02	 	 	 	 
218769_s_at	ANKRA2	 	 	-1.44	2.57E-03	 	 
218093_s_at	ANKRD10	-1.482	1.85E-02	-1.698	9.84E-03	-1.34	8.91E-03
215504_x_at	ANKRD10-IT1	 	 	 	 	-1.157	2.95E-02
219437_s_at	ANKRD11	 	 	1.364	1.49E-03	 	 
231999_at	ANKRD11	 	 	1.233	4.54E-02	 	 
238538_at	ANKRD11	 	 	1.208	4.37E-02	 	 
227661_at	ANKRD11	 	 	 	 	1.414	1.23E-02
228356_at	ANKRD11	 	 	 	 	-1.251	1.07E-02
212286_at	ANKRD12	 	 	1.425	1.61E-02	 	 
224810_s_at	ANKRD13A	-1.293	2.99E-02	 	 	-1.385	4.09E-03
1554471_a_at	ANKRD13C	 	 	1.241	4.90E-04	 	 
223418_x_at	ANKRD13C	 	 	 	 	-1.437	3.37E-02
238642_at	ANKRD13D	-1.336	3.99E-02	 	 	1.187	4.32E-02
231423_s_at	ANKRD16	1.15	3.62E-02	1.249	4.58E-02	1.331	8.21E-03
233592_at	ANKRD18B	 	 	 	 	-1.639	7.49E-03
221232_s_at	ANKRD2	1.819	2.64E-02	 	 	 	 
241233_x_at	ANKRD20A11P	-1.263	1.62E-02	 	 	 	 
1553366_s_at	ANKRD23	 	 	-1.511	2.31E-02	 	 
1558400_x_at	ANKRD24	 	 	1.264	1.52E-02	 	 
213035_at	ANKRD28	-1.133	2.52E-02	-1.239	2.63E-02	 	 
229307_at	ANKRD28	 	 	1.866	1.16E-02	 	 
1562294_x_at	ANKRD30B	 	 	-1.152	3.11E-02	 	 
1564000_at	ANKRD31	 	 	 	 	1.332	4.90E-02
1558076_at	ANKRD32	1.17	2.67E-02	 	 	 	 
223542_at	ANKRD32	1.395	2.89E-02	 	 	 	 
238464_at	ANKRD36	2.021	1.83E-02	 	 	 	 
220940_at	ANKRD36B	 	 	1.523	4.91E-03	 	 
1555898_at	ANKRD36C	 	 	 	 	-1.215	1.93E-02
223532_at	ANKRD39	1.308	1.03E-02	1.466	1.22E-02	1.513	3.12E-03
228471_at	ANKRD44	-1.195	3.60E-02	 	 	 	 
235777_at	ANKRD44	-1.443	2.60E-02	 	 	 	 
226641_at	ANKRD44	 	 	 	 	-2.667	2.31E-02
212731_at	ANKRD46	 	 	 	 	1.182	4.05E-02
219069_at	ANKRD49	 	 	 	 	1.2	4.09E-02
236189_at	ANKRD50	-1.219	3.98E-02	 	 	 	 
225731_at	ANKRD50	 	 	-1.722	8.05E-04	-2.082	3.89E-03
225735_at	ANKRD50	 	 	-1.684	1.11E-02	-2.268	4.68E-03
220112_at	ANKRD55	 	 	 	 	1.38	3.32E-02
219989_s_at	ANKS1B	 	 	 	 	-1.257	1.77E-02
239087_at	ANKS4B	-1.588	4.75E-02	 	 	 	 
226586_at	ANKS6	 	 	-1.392	4.66E-03	 	 
1552619_a_at	ANLN	1.208	8.63E-03	1.534	2.26E-04	1.578	4.26E-02
222608_s_at	ANLN	1.245	3.25E-03	 	 	 	 
218910_at	ANO10	1.126	3.20E-02	 	 	 	 
236420_s_at	ANO4	 	 	1.21	4.97E-02	 	 
224906_at	ANO6	 	 	-1.785	7.28E-03	-1.563	1.14E-03
241918_at	ANO7	 	 	 	 	1.309	2.00E-02
201043_s_at	ANP32A	1.401	2.64E-02	 	 	-1.294	2.72E-03
201051_at	ANP32A	 	 	 	 	-1.139	1.98E-02
201305_x_at	ANP32B	1.182	1.33E-03	 	 	 	 
229128_s_at	ANP32E	 	 	1.374	2.69E-03	 	 
221505_at	ANP32E	 	 	 	 	1.144	7.62E-03
202888_s_at	ANPEP	 	 	1.216	3.44E-02	 	 
224694_at	ANTXR1	 	 	-2.641	1.13E-03	-2.831	5.78E-03
220092_s_at	ANTXR1	 	 	 	 	-1.737	4.33E-02
225524_at	ANTXR2	-1.326	4.22E-02	 	 	 	 
228573_at	ANTXR2	 	 	1.216	1.26E-02	 	 
201012_at	ANXA1	 	 	 	 	1.902	4.82E-02
206200_s_at	ANXA11	 	 	-1.226	8.04E-03	-1.172	2.86E-02
201590_x_at	ANXA2	-1.071	3.94E-02	 	 	-1.261	1.18E-02
210427_x_at	ANXA2	 	 	 	 	-1.294	3.32E-03
213503_x_at	ANXA2	 	 	 	 	-1.278	8.67E-03
208816_x_at	ANXA2P2	 	 	-1.415	3.47E-02	-1.561	5.19E-04
209369_at	ANXA3	 	 	-1.308	6.57E-03	-2.041	1.43E-02
201302_at	ANXA4	-1.136	5.09E-03	-1.082	2.18E-03	-1.135	2.12E-02
200782_at	ANXA5	 	 	 	 	-1.187	1.74E-03
200982_s_at	ANXA6	1.168	6.29E-03	 	 	 	 
209860_s_at	ANXA7	 	 	 	 	1.199	2.45E-02
203074_at	ANXA8L2 (includes others)	 	 	 	 	1.754	8.74E-03
211712_s_at	ANXA9	1.168	4.47E-02	-1.43	4.85E-02	-2.005	4.93E-04
210085_s_at	ANXA9	 	 	 	 	-1.217	1.43E-04
205083_at	AOX1	1.32	2.40E-02	 	 	 	 
1562634_at	AP000469.2	 	 	1.158	3.16E-02	 	 
235152_at	AP001258.4	-1.528	2.34E-03	-1.536	2.23E-02	-1.344	5.52E-03
231010_at	AP1AR	1.427	2.23E-02	 	 	 	 
242753_x_at	AP1AR	 	 	1.453	3.79E-02	 	 
205423_at	AP1B1	1.344	1.73E-02	1.311	4.93E-02	 	 
203350_at	AP1G1	-1.174	8.38E-03	 	 	 	 
201613_s_at	AP1G2	-1.163	1.11E-02	 	 	 	 
214341_at	AP1G2	-1.435	2.74E-02	 	 	 	 
223024_at	AP1M1	 	 	1.221	2.41E-02	 	 
223025_s_at	AP1M1	 	 	 	 	1.375	2.58E-02
65517_at	AP1M2	-1.116	2.03E-03	 	 	 	 
205195_at	AP1S1	 	 	1.548	2.31E-02	 	 
205196_s_at	AP1S1	 	 	1.429	1.51E-02	 	 
209635_at	AP1S1	 	 	1.275	8.52E-03	 	 
203300_x_at	AP1S2	-1.275	4.56E-02	 	 	 	 
228415_at	AP1S2	 	 	1.301	2.05E-02	 	 
1555731_a_at	AP1S3	 	 	1.619	1.47E-02	 	 
1555733_s_at	AP1S3	 	 	1.733	1.29E-03	 	 
1555734_x_at	AP1S3	 	 	1.564	4.82E-02	2.197	2.72E-03
229617_x_at	AP2A1	 	 	 	 	1.402	1.14E-03
211779_x_at	AP2A2	 	 	 	 	1.239	1.82E-02
212159_x_at	AP2A2	 	 	 	 	1.24	9.22E-03
200615_s_at	AP2B1	 	 	 	 	1.179	6.58E-03
208074_s_at	AP2S1	 	 	1.118	2.78E-02	 	 
203141_s_at	AP3B1	-1.295	2.41E-02	 	 	1.448	3.06E-02
205678_at	AP3B2	 	 	1.619	1.21E-02	 	 
1570032_at	AP3B2	 	 	 	 	1.488	2.00E-02
208710_s_at	AP3D1	-1.267	4.80E-02	 	 	 	 
206592_s_at	AP3D1	 	 	-1.12	3.33E-02	 	 
203410_at	AP3M2	1.274	4.83E-02	 	 	 	 
202442_at	AP3S1	 	 	 	 	1.14	1.50E-02
213215_at	AP3S2	 	 	-1.573	2.62E-02	-1.531	2.92E-02
231714_s_at	AP4B1	1.2	2.76E-02	1.169	3.72E-02	1.215	2.30E-02
236221_at	AP4B1	-1.802	3.23E-03	 	 	 	 
231962_at	AP4B1	 	 	1.597	2.71E-02	1.89	2.02E-03
228164_at	AP4E1	1.152	1.19E-03	1.346	1.25E-02	1.315	4.78E-02
220229_s_at	AP4E1	 	 	 	 	1.911	2.77E-02
235647_at	AP4S1	 	 	1.226	1.29E-02	 	 
210277_at	AP4S1	 	 	 	 	1.668	5.60E-03
210952_at	AP4S1	 	 	 	 	-1.252	3.89E-02
231858_x_at	AP5B1	 	 	1.468	2.57E-02	 	 
222531_s_at	AP5M1	1.136	2.17E-02	 	 	1.088	3.42E-02
209912_s_at	AP5Z1	-1.179	1.53E-02	 	 	 	 
211553_x_at	APAF1	-1.325	9.11E-03	 	 	 	 
205146_x_at	APBA3	-1.46	8.33E-03	 	 	 	 
202652_at	APBB1	 	 	 	 	1.47	2.08E-02
212970_at	APBB2	-1.222	3.30E-02	-1.457	3.33E-02	-1.605	2.03E-03
213419_at	APBB2	-1.374	1.12E-02	-1.463	1.59E-02	-1.317	2.56E-02
40148_at	APBB2	-1.358	2.14E-02	-1.348	1.22E-02	-1.344	4.04E-03
212985_at	APBB2	 	 	-1.568	2.34E-02	-1.498	6.24E-03
203525_s_at	APC	 	 	 	 	-1.206	3.40E-02
205320_at	APC2	 	 	-1.442	2.51E-02	 	 
204408_at	APEX2	1.159	4.31E-02	 	 	1.385	4.42E-02
1554417_s_at	APH1A	 	 	 	 	-1.304	1.78E-02
201686_x_at	API5	 	 	 	 	1.32	8.15E-03
214959_s_at	API5	 	 	 	 	1.39	7.19E-03
218698_at	APIP	 	 	1.23	2.91E-02	 	 
213454_at	APITD1-CORT	1.144	1.78E-02	 	 	1.201	1.67E-02
244166_at	APLN	 	 	-1.56	3.61E-02	 	 
213592_at	APLNR	 	 	 	 	1.812	1.30E-02
208248_x_at	APLP2	-1.242	5.23E-04	 	 	-1.238	7.82E-04
208702_x_at	APLP2	-1.206	1.04E-02	 	 	-1.245	1.38E-02
208703_s_at	APLP2	-1.189	2.85E-03	 	 	 	 
208704_x_at	APLP2	-1.201	2.41E-02	 	 	-1.124	2.24E-02
211404_s_at	APLP2	 	 	-1.169	1.01E-02	-1.228	2.76E-02
214875_x_at	APLP2	 	 	-1.234	3.04E-03	 	 
206656_s_at	APMAP	 	 	-1.199	1.38E-02	-1.242	8.11E-03
228309_at	APMAP	 	 	-1.23	4.54E-02	 	 
204450_x_at	APOA1	 	 	1.58	2.39E-02	2.359	1.56E-05
217073_x_at	APOA1	 	 	2.026	4.53E-02	 	 
219465_at	APOA2	 	 	 	 	1.332	3.53E-02
206894_at	APOA4	 	 	 	 	1.537	3.60E-02
206632_s_at	APOBEC3B	 	 	-2.589	2.23E-02	-2.836	9.12E-03
205820_s_at	APOC3	1.236	1.28E-02	 	 	 	 
201525_at	APOD	 	 	-1.784	4.77E-02	 	 
203381_s_at	APOE	-1.223	3.42E-02	 	 	 	 
203382_s_at	APOE	 	 	-1.48	1.26E-02	 	 
231359_at	APOH	 	 	-1.888	6.00E-04	 	 
205216_s_at	APOH	 	 	 	 	-1.311	4.11E-03
221013_s_at	APOL2	 	 	1.415	3.79E-02	 	 
221653_x_at	APOL2	 	 	1.112	1.93E-02	 	 
221087_s_at	APOL3/APOL4	-1.217	1.42E-02	 	 	 	 
224491_at	APOL3/APOL4	 	 	-1.235	3.77E-02	 	 
219716_at	APOL6	 	 	-1.686	2.58E-03	 	 
1557236_at	APOL6	 	 	 	 	-1.651	2.92E-02
221620_s_at	APOO	 	 	1.272	1.95E-02	1.435	5.71E-03
244187_at	APOOL	1.878	3.32E-02	 	 	 	 
232814_x_at	APOPT1	 	 	-1.407	4.29E-02	-1.232	4.09E-03
200602_at	APP	 	 	-1.294	2.70E-02	-2.209	5.70E-03
202629_at	APPBP2	-1.097	2.87E-02	-1.234	6.14E-03	-1.295	4.80E-03
202630_at	APPBP2	 	 	-1.363	2.14E-03	-1.64	1.37E-04
218158_s_at	APPL1	1.359	4.46E-03	 	 	 	 
222538_s_at	APPL1	 	 	1.3	2.69E-02	 	 
218218_at	APPL2	-1.626	7.17E-03	-1.386	3.90E-02	-1.305	2.69E-03
203219_s_at	APRT	1.144	1.98E-02	 	 	1.215	1.06E-02
213892_s_at	APRT	 	 	 	 	1.135	8.90E-03
218527_at	APTX	1.303	2.52E-02	1.225	1.06E-02	1.318	2.03E-02
222658_s_at	APTX	1.153	4.38E-02	1.2	3.20E-02	1.44	3.31E-02
39248_at	AQP3	-1.425	1.24E-02	-1.968	8.93E-03	-3.039	1.06E-02
203747_at	AQP3	 	 	-1.645	1.11E-03	-2.046	1.19E-02
39249_at	AQP3	 	 	-1.671	2.22E-02	-1.643	1.24E-02
213611_at	AQP5	 	 	 	 	1.547	2.13E-02
206784_at	AQP8	 	 	1.649	2.48E-02	 	 
212584_at	AQR	 	 	 	 	1.2	9.22E-03
211110_s_at	AR	 	 	 	 	-1.663	3.65E-03
226197_at	AR	 	 	 	 	-1.552	5.83E-04
242039_at	ARAP1	 	 	 	 	1.202	2.01E-02
213618_at	ARAP2	1.926	3.08E-03	 	 	1.184	1.86E-02
210090_at	ARC	 	 	1.731	4.03E-02	 	 
201176_s_at	ARCN1	-1.104	3.84E-02	 	 	1.245	2.84E-02
1557285_at	AREG/AREGB	1.682	3.20E-02	 	 	2.017	1.16E-02
205239_at	AREG/AREGB	4.348	1.44E-03	6.51	2.47E-03	12.281	5.20E-04
200065_s_at	ARF1	 	 	 	 	1.141	1.14E-02
208750_s_at	ARF1	 	 	 	 	1.195	3.40E-02
200011_s_at	ARF3	 	 	-1.129	2.08E-02	 	 
200734_s_at	ARF3	 	 	 	 	1.169	1.98E-02
201526_at	ARF5	 	 	-1.155	1.45E-03	 	 
203311_s_at	ARF6	1.296	3.14E-03	1.168	4.03E-02	1.148	6.76E-03
203312_x_at	ARF6	1.098	3.26E-02	 	 	 	 
214182_at	ARF6	 	 	1.052	4.82E-02	 	 
211975_at	ARFGAP2	-1.084	8.03E-03	 	 	 	 
218230_at	ARFIP1	 	 	-1.138	1.61E-02	 	 
215984_s_at	ARFRP1	 	 	-1.223	1.67E-02	-1.24	4.97E-02
203945_at	ARG2	 	 	 	 	1.22	3.88E-02
227448_at	ARGLU1	 	 	1.287	3.39E-02	 	 
202117_at	ARHGAP1	 	 	 	 	1.164	2.65E-02
219431_at	ARHGAP10	-1.323	2.65E-02	 	 	-1.484	1.52E-02
204492_at	ARHGAP11A	 	 	2.134	1.16E-03	 	 
207606_s_at	ARHGAP12	-1.32	3.39E-02	-1.526	3.06E-02	-1.685	9.42E-03
225171_at	ARHGAP18	-1.411	7.25E-04	-1.478	2.64E-02	-1.651	3.21E-03
225173_at	ARHGAP18	 	 	-1.744	1.29E-02	-2.076	8.25E-04
212738_at	ARHGAP19	1.148	2.19E-02	1.574	9.06E-04	 	 
37577_at	ARHGAP19	 	 	1.555	8.68E-03	 	 
223422_s_at	ARHGAP24	 	 	1.99	3.27E-02	 	 
204882_at	ARHGAP25	 	 	-1.717	6.92E-03	 	 
1555076_at	ARHGAP25	 	 	 	 	1.53	2.29E-03
205068_s_at	ARHGAP26	 	 	1.677	2.73E-02	2.787	1.02E-02
243536_x_at	ARHGAP27	 	 	1.232	4.10E-02	 	 
1554594_at	ARHGAP27	 	 	 	 	1.42	2.64E-02
210791_s_at	ARHGAP32	-1.244	1.74E-02	 	 	 	 
229648_at	ARHGAP32	 	 	 	 	-1.665	1.40E-03
202046_s_at	ARHGAP35	-1.318	3.96E-02	 	 	 	 
229394_s_at	ARHGAP35	-1.347	6.51E-03	 	 	-1.275	1.85E-03
202045_s_at	ARHGAP35	 	 	-1.696	3.49E-03	 	 
238047_at	ARHGAP36	 	 	1.713	1.71E-02	1.48	4.40E-02
1553383_at	ARHGAP42	 	 	 	 	1.282	2.03E-02
206167_s_at	ARHGAP6	1.309	1.43E-02	 	 	 	 
205980_s_at	ARHGAP8/PRR5-ARHGAP8	 	 	-1.611	1.14E-02	-1.97	2.02E-02
1555162_at	ARHGAP8/PRR5-ARHGAP8	 	 	 	 	-1.548	4.97E-02
226906_s_at	ARHGAP9	 	 	 	 	1.478	2.33E-02
213606_s_at	ARHGDIA	1.366	1.94E-02	 	 	 	 
206888_s_at	ARHGDIG	1.423	1.14E-03	2.078	1.34E-02	1.869	4.96E-04
1570511_at	ARHGEF10L	 	 	2.079	4.09E-02	1.242	3.70E-02
221656_s_at	ARHGEF10L	 	 	1.381	1.74E-02	 	 
1570471_at	ARHGEF12	-1.181	3.34E-02	 	 	 	 
201334_s_at	ARHGEF12	 	 	-1.504	3.17E-02	-1.445	3.12E-02
227197_at	ARHGEF26	1.315	7.90E-03	 	 	 	 
232994_s_at	ARHGEF28	1.567	4.81E-02	1.536	4.40E-03	1.631	1.01E-02
227717_at	ARHGEF37	-2.08	2.09E-03	 	 	-2.737	4.39E-03
216912_at	ARHGEF4	 	 	-1.327	1.99E-02	 	 
211891_s_at	ARHGEF4	 	 	 	 	1.463	4.26E-02
227855_at	ARHGEF40	 	 	-1.689	4.19E-02	 	 
1562271_x_at	ARHGEF7	 	 	-1.339	3.76E-02	 	 
212152_x_at	ARID1A	 	 	 	 	-1.073	1.54E-02
1566990_x_at	ARID1B	 	 	-1.285	4.08E-02	 	 
1566991_at	ARID1B	 	 	1.514	2.08E-02	 	 
225184_at	ARID1B	 	 	1.334	4.94E-03	 	 
230141_at	ARID4A	 	 	-1.336	1.50E-02	-2.01	6.70E-03
214139_at	ARID4B	-1.351	4.29E-02	 	 	 	 
221230_s_at	ARID4B	 	 	-1.173	9.71E-03	 	 
212591_at	ARID4B	 	 	 	 	1.121	3.70E-02
223111_x_at	ARID4B	 	 	 	 	-1.21	3.25E-02
212614_at	ARID5B	-1.498	3.40E-03	-1.753	8.62E-04	-1.539	2.55E-04
201879_at	ARIH1	-1.171	2.30E-02	 	 	 	 
216008_s_at	ARIH2	1.248	4.72E-02	1.153	3.25E-02	 	 
227932_at	ARIH2	 	 	 	 	-1.204	2.93E-02
1559532_at	ARIH2OS	 	 	-1.508	4.21E-02	 	 
201659_s_at	ARL1	-1.174	3.65E-02	 	 	 	 
1552693_at	ARL11	 	 	1.132	2.83E-02	 	 
228201_at	ARL13B	1.407	1.69E-02	1.405	4.68E-02	 	 
226383_at	ARL14EP	1.194	3.49E-02	 	 	 	 
228151_at	ARL15	-1.227	3.60E-02	 	 	-1.392	2.65E-02
1554245_x_at	ARL17B	 	 	-1.393	4.01E-02	 	 
1555794_at	ARL17B	 	 	1.179	3.91E-02	 	 
202092_s_at	ARL2BP	 	 	 	 	1.169	4.60E-02
202641_at	ARL3	1.363	1.38E-02	1.728	1.07E-02	1.744	3.83E-03
205020_s_at	ARL4A	-1.371	3.88E-03	 	 	-1.374	5.26E-03
203586_s_at	ARL4D	-1.959	4.18E-02	-2.339	2.42E-04	-2.625	1.04E-03
218150_at	ARL5A	1.185	1.17E-02	 	 	 	 
226617_at	ARL5A	1.335	2.62E-02	 	 	 	 
243176_at	ARL5A	1.952	1.91E-02	 	 	1.5	3.97E-02
242727_at	ARL5B	 	 	1.302	1.74E-02	 	 
226345_at	ARL5B	 	 	 	 	1.219	4.82E-02
1560136_at	ARL5C	 	 	 	 	1.469	4.18E-02
223735_at	ARL6	 	 	1.601	2.04E-02	 	 
220597_s_at	ARL6IP4	 	 	-1.142	2.22E-03	 	 
200760_s_at	ARL6IP5	-1.175	5.96E-03	 	 	-1.188	2.98E-02
200761_s_at	ARL6IP5	-1.198	2.04E-02	-1.243	1.54E-02	-1.271	3.63E-02
225711_at	ARL6IP6	 	 	1.439	1.38E-02	 	 
225709_at	ARL6IP6	 	 	 	 	1.313	2.17E-02
225347_at	ARL8A	 	 	 	 	-1.392	3.84E-02
229062_at	ARL9	1.402	4.02E-02	 	 	 	 
1554480_a_at	ARMC10	1.307	4.38E-02	 	 	1.215	2.87E-02
223328_at	ARMC10	1.184	2.15E-02	1.231	8.04E-03	1.41	7.54E-03
231263_at	ARMC12	 	 	1.514	1.82E-02	 	 
221758_at	ARMC6	1.186	4.66E-02	 	 	 	 
229906_at	ARMC7	1.477	4.22E-02	 	 	 	 
1555281_x_at	ARMC8	1.611	1.80E-02	1.458	1.42E-03	 	 
220754_at	ARMC9	-1.121	2.40E-02	 	 	 	 
218694_at	ARMCX1	-1.321	3.18E-03	 	 	 	 
203404_at	ARMCX2	1.397	1.22E-03	1.355	1.72E-02	1.634	6.75E-04
217858_s_at	ARMCX3	1.399	1.24E-03	1.334	1.06E-03	1.644	4.67E-02
222444_at	ARMCX3	1.229	2.95E-02	 	 	1.365	7.24E-03
227444_at	ARMCX4	1.283	2.06E-02	 	 	1.525	3.89E-03
214749_s_at	ARMCX6	1.326	3.73E-04	1.459	1.52E-02	1.619	6.78E-04
218221_at	ARNT	-1.226	2.72E-02	 	 	-1.538	8.08E-03
218222_x_at	ARNT	-1.167	3.70E-04	 	 	 	 
231016_s_at	ARNT	 	 	-1.258	3.58E-02	-1.91	1.25E-02
202986_at	ARNT2	-2.643	2.71E-04	-2.706	1.14E-02	-3.37	1.15E-02
209824_s_at	ARNTL	 	 	 	 	-1.221	3.11E-02
213513_x_at	ARPC2	-1.123	4.68E-02	 	 	 	 
211672_s_at	ARPC4	1.133	9.46E-03	-1.142	3.90E-02	 	 
217818_s_at	ARPC4	1.203	2.64E-02	1.144	3.84E-02	 	 
226915_s_at	ARPC5L	1.285	7.84E-03	1.177	3.08E-02	1.357	2.95E-02
226914_at	ARPC5L	 	 	1.386	4.58E-02	1.24	4.86E-02
220966_x_at	ARPC5L	 	 	 	 	1.355	2.85E-02
223101_s_at	ARPC5L	 	 	 	 	1.378	2.97E-02
214553_s_at	ARPP19	 	 	1.221	3.57E-02	1.279	4.77E-02
221482_s_at	ARPP19	 	 	-1.383	2.07E-02	-1.516	1.85E-02
221861_at	ARRB1	-1.807	9.34E-04	-2.303	7.22E-03	-1.923	3.69E-03
228444_at	ARRB1	-1.502	2.65E-02	 	 	 	 
43511_s_at	ARRB1	-2.09	1.92E-03	-2.094	3.10E-04	-1.897	2.81E-03
49111_at	ARRB1	-1.999	1.25E-02	-1.782	1.39E-02	-1.971	8.83E-03
218832_x_at	ARRB1	 	 	-1.375	1.12E-02	-1.956	6.70E-04
222912_at	ARRB1	 	 	-1.452	7.08E-03	-1.537	2.68E-02
203388_at	ARRB2	 	 	1.234	3.13E-03	 	 
224797_at	ARRDC3	 	 	-1.641	1.34E-02	-1.901	1.15E-02
225283_at	ARRDC4	1.358	1.07E-02	 	 	 	 
225286_at	ARSD	-1.299	1.41E-02	-1.609	9.82E-03	-1.373	3.03E-02
223696_at	ARSD	 	 	 	 	-1.541	1.54E-02
214490_at	ARSF	 	 	-1.911	2.91E-02	 	 
